"Order Number","Line Item","Order Date","Delivery Date",CustomerKey,StoreKey,ProductKey,Quantity,"Currency Code"
1463042,3,1/2/2019,,1780196,57,62,3,USD
1463042,4,1/2/2019,,1780196,57,895,10,USD
1463042,5,1/2/2019,,1780196,57,75,5,USD
1463043,1,1/2/2019,,725795,30,1563,1,EUR
1463044,1,1/2/2019,,1353398,56,128,1,USD
1463045,1,1/2/2019,1/5/2019,1801831,0,1433,6,USD
1463045,2,1/2/2019,1/5/2019,1801831,0,462,2,USD
1463046,1,1/2/2019,,314334,10,1337,3,CAD
1463047,1,1/2/2019,,535370,23,1593,5,EUR
1463048,1,1/2/2019,,1461681,59,1783,6,USD
1463050,1,1/2/2019,1/4/2019,1119619,0,502,2,GBP
1463051,1,1/2/2019,,551501,23,2049,1,EUR
1463051,2,1/2/2019,,551501,23,145,2,EUR
1463051,3,1/2/2019,,551501,23,2170,6,EUR
1463051,4,1/2/2019,,551501,23,1246,1,EUR
1463051,5,1/2/2019,,551501,23,451,2,EUR
1463051,6,1/2/2019,,551501,23,50,2,EUR
1463052,1,1/2/2019,,894227,33,1563,1,EUR
1463053,1,1/2/2019,,1534621,50,1628,3,USD
1463053,2,1/2/2019,,1534621,50,1787,4,USD
1463053,3,1/2/2019,,1534621,50,827,5,USD
1463053,4,1/2/2019,,1534621,50,426,4,USD
1463055,1,1/2/2019,,1899495,57,1544,2,USD
1463056,1,1/2/2019,1/7/2019,1556134,0,1683,1,USD
1463056,2,1/2/2019,1/7/2019,1556134,0,1460,2,USD
1463056,3,1/2/2019,1/7/2019,1556134,0,110,4,USD
1463057,1,1/2/2019,1/5/2019,2074996,0,1729,6,USD
1463057,2,1/2/2019,1/5/2019,2074996,0,1645,1,USD
1463058,1,1/2/2019,,1915808,53,185,1,USD
1463058,2,1/2/2019,,1915808,53,1673,4,USD
1463058,3,1/2/2019,,1915808,53,2509,1,USD
1463058,4,1/2/2019,,1915808,53,31,2,USD
1463058,6,1/2/2019,,1915808,53,634,1,USD
1463060,1,1/2/2019,,1226395,45,564,2,USD
1463060,2,1/2/2019,,1226395,45,16,2,USD
1463060,3,1/2/2019,,1226395,45,423,3,USD
1463060,4,1/2/2019,,1226395,45,1979,2,USD
1463061,1,1/2/2019,1/4/2019,520991,0,1300,2,EUR
1463062,1,1/2/2019,1/4/2019,1069911,0,439,2,GBP
1463062,2,1/2/2019,1/4/2019,1069911,0,1434,5,GBP
1463062,3,1/2/2019,1/4/2019,1069911,0,385,1,GBP
1463062,4,1/2/2019,1/4/2019,1069911,0,1604,2,GBP
1463062,5,1/2/2019,1/4/2019,1069911,0,147,3,GBP
1463062,6,1/2/2019,1/4/2019,1069911,0,1826,6,GBP
1463062,7,1/2/2019,1/4/2019,1069911,0,2086,10,GBP
1463063,1,1/2/2019,,689695,12,1652,3,EUR
1463063,2,1/2/2019,,689695,12,1006,4,EUR
1463063,3,1/2/2019,,689695,12,1635,10,EUR
1463063,4,1/2/2019,,689695,12,1289,1,EUR
1463064,1,1/2/2019,,2022707,62,1655,2,USD
1463065,1,1/2/2019,,982645,40,1385,4,GBP
1463065,2,1/2/2019,,982645,40,2283,2,GBP
1463065,3,1/2/2019,,982645,40,166,1,GBP
1463066,1,1/2/2019,,1032522,37,1575,4,GBP
1463066,2,1/2/2019,,1032522,37,1641,1,GBP
1463066,3,1/2/2019,,1032522,37,1575,2,GBP
1463067,1,1/2/2019,,348521,8,1652,1,CAD
1463067,2,1/2/2019,,348521,8,1415,1,CAD
1463067,3,1/2/2019,,348521,8,1682,3,CAD
1464000,1,1/3/2019,,537509,21,145,5,EUR
1464000,2,1/3/2019,,537509,21,477,1,EUR
1464000,3,1/3/2019,,537509,21,140,5,EUR
1464000,4,1/3/2019,,537509,21,1521,1,EUR
1464000,5,1/3/2019,,537509,21,1646,1,EUR
1464000,6,1/3/2019,,537509,21,1621,2,EUR
1464001,1,1/3/2019,,1493457,63,435,5,USD
1464001,2,1/3/2019,,1493457,63,1465,2,USD
1464001,3,1/3/2019,,1493457,63,2395,2,USD
1464001,4,1/3/2019,,1493457,63,41,2,USD
1464001,6,1/3/2019,,1493457,63,1393,1,USD
1464001,7,1/3/2019,,1493457,63,456,6,USD
1464002,1,1/3/2019,,901390,40,846,3,GBP
1464002,2,1/3/2019,,901390,40,1824,2,GBP
1464002,3,1/3/2019,,901390,40,1589,2,GBP
1464003,1,1/3/2019,1/8/2019,289320,0,387,6,CAD
1464003,2,1/3/2019,1/8/2019,289320,0,73,3,CAD
1464003,3,1/3/2019,1/8/2019,289320,0,102,2,CAD
1464003,4,1/3/2019,1/8/2019,289320,0,1550,5,CAD
1464003,5,1/3/2019,1/8/2019,289320,0,455,1,CAD
1464003,6,1/3/2019,1/8/2019,289320,0,450,2,CAD
1464003,7,1/3/2019,1/8/2019,289320,0,474,2,CAD
1464004,1,1/3/2019,1/7/2019,527697,0,1613,2,EUR
1464004,2,1/3/2019,1/7/2019,527697,0,82,1,EUR
1464004,3,1/3/2019,1/7/2019,527697,0,112,1,EUR
1464005,1,1/3/2019,,2098944,65,33,5,USD
1464005,2,1/3/2019,,2098944,65,1661,2,USD
1464006,1,1/3/2019,1/7/2019,1010025,0,1574,1,GBP
1464006,2,1/3/2019,1/7/2019,1010025,0,1742,4,GBP
1464007,1,1/3/2019,1/6/2019,1262399,0,1634,2,USD
1464008,1,1/3/2019,1/5/2019,1503301,0,443,3,USD
1464009,1,1/3/2019,,392676,9,430,1,CAD
1464009,2,1/3/2019,,392676,9,54,4,CAD
1464011,1,1/3/2019,1/5/2019,1898949,0,456,3,USD
1464011,2,1/3/2019,1/5/2019,1898949,0,1411,2,USD
1464011,3,1/3/2019,1/5/2019,1898949,0,440,1,USD
1464011,4,1/3/2019,1/5/2019,1898949,0,120,7,USD
1464011,5,1/3/2019,1/5/2019,1898949,0,1391,9,USD
1464011,6,1/3/2019,1/5/2019,1898949,0,65,7,USD
1464012,1,1/3/2019,,151044,4,1696,1,AUD
1464013,1,1/3/2019,,2039658,43,1703,2,USD
1464013,2,1/3/2019,,2039658,43,51,7,USD
1464013,3,1/3/2019,,2039658,43,90,1,USD
1464013,4,1/3/2019,,2039658,43,422,5,USD
1464014,1,1/3/2019,,1440061,50,451,4,USD
1464014,2,1/3/2019,,1440061,50,434,4,USD
1464014,3,1/3/2019,,1440061,50,1600,1,USD
1464014,4,1/3/2019,,1440061,50,418,1,USD
1464015,1,1/3/2019,1/7/2019,890094,0,1732,2,EUR
1464015,2,1/3/2019,1/7/2019,890094,0,1328,2,EUR
1464015,3,1/3/2019,1/7/2019,890094,0,2055,3,EUR
1464015,4,1/3/2019,1/7/2019,890094,0,1644,5,EUR
1464016,1,1/3/2019,1/7/2019,624293,0,7,1,EUR
1464016,3,1/3/2019,1/7/2019,624293,0,11,1,EUR
1464017,1,1/3/2019,,1369363,44,1596,8,USD
1464017,2,1/3/2019,,1369363,44,421,6,USD
1464018,1,1/3/2019,,1428214,64,61,4,USD
1464018,2,1/3/2019,,1428214,64,787,8,USD
1464019,1,1/3/2019,,1760929,59,85,6,USD
1464019,2,1/3/2019,,1760929,59,2062,8,USD
1464019,3,1/3/2019,,1760929,59,71,1,USD
1464020,1,1/3/2019,,908823,36,1688,1,GBP
1464020,2,1/3/2019,,908823,36,1808,1,GBP
1464020,3,1/3/2019,,908823,36,447,1,GBP
1464020,4,1/3/2019,,908823,36,1555,7,GBP
1464020,5,1/3/2019,,908823,36,1559,3,GBP
1464020,6,1/3/2019,,908823,36,1487,4,GBP
1464020,7,1/3/2019,,908823,36,63,2,GBP
1464021,1,1/3/2019,,444654,23,936,4,EUR
1464022,1,1/3/2019,1/7/2019,1591484,0,1785,2,USD
1464022,2,1/3/2019,1/7/2019,1591484,0,422,8,USD
1464022,3,1/3/2019,1/7/2019,1591484,0,1684,3,USD
1464022,4,1/3/2019,1/7/2019,1591484,0,83,1,USD
1464023,1,1/3/2019,1/6/2019,1956840,0,1674,1,USD
1464024,1,1/3/2019,,690102,17,2117,3,EUR
1464024,2,1/3/2019,,690102,17,1616,3,EUR
1464024,3,1/3/2019,,690102,17,1426,3,EUR
1464024,4,1/3/2019,,690102,17,1585,2,EUR
1464025,1,1/3/2019,,1760136,61,2132,3,USD
1464026,1,1/3/2019,,1313253,66,367,3,USD
1464026,2,1/3/2019,,1313253,66,1113,6,USD
1464026,3,1/3/2019,,1313253,66,1638,1,USD
1464026,4,1/3/2019,,1313253,66,849,2,USD
1464027,1,1/3/2019,,1845277,54,102,7,USD
1464029,1,1/3/2019,,231984,8,130,3,CAD
1464029,2,1/3/2019,,231984,8,298,3,CAD
1464031,1,1/3/2019,,186266,5,1580,3,AUD
1464032,1,1/3/2019,,1583359,45,1410,3,USD
1464032,2,1/3/2019,,1583359,45,448,1,USD
1464033,1,1/3/2019,,1511494,66,2511,2,USD
1464033,2,1/3/2019,,1511494,66,57,5,USD
1464033,3,1/3/2019,,1511494,66,612,3,USD
1464033,4,1/3/2019,,1511494,66,851,6,USD
1464034,1,1/3/2019,,1467046,59,1652,4,USD
1464034,2,1/3/2019,,1467046,59,1632,8,USD
1464035,1,1/3/2019,,216372,9,348,8,CAD
1464036,1,1/3/2019,,224035,8,2115,2,CAD
1464037,1,1/3/2019,1/7/2019,1582741,0,109,2,USD
1464038,1,1/3/2019,,319202,9,1291,2,CAD
1464039,1,1/3/2019,,505288,19,1437,1,EUR
1464039,2,1/3/2019,,505288,19,1425,2,EUR
1464039,3,1/3/2019,,505288,19,1506,1,EUR
1464039,4,1/3/2019,,505288,19,1629,1,EUR
1464039,5,1/3/2019,,505288,19,1749,7,EUR
1464039,6,1/3/2019,,505288,19,1420,7,EUR
1464039,7,1/3/2019,,505288,19,626,3,EUR
1464040,1,1/3/2019,1/6/2019,1180909,0,1610,1,GBP
1464041,1,1/3/2019,,2021353,47,1662,3,USD
1464042,1,1/3/2019,,1458743,61,103,1,USD
1464043,1,1/3/2019,,1964297,49,1259,3,USD
1464043,2,1/3/2019,,1964297,49,1659,3,USD
1464044,1,1/3/2019,,301736,9,1552,5,CAD
1464045,1,1/3/2019,,1320851,63,2113,1,USD
1464045,2,1/3/2019,,1320851,63,2094,3,USD
1464045,3,1/3/2019,,1320851,63,438,1,USD
1464046,1,1/3/2019,,1735845,49,1651,2,USD
1464046,2,1/3/2019,,1735845,49,1675,8,USD
1464046,3,1/3/2019,,1735845,49,113,1,USD
1464047,1,1/3/2019,,127146,5,1054,2,AUD
1464048,1,1/3/2019,1/9/2019,1316816,0,576,1,USD
1464048,2,1/3/2019,1/9/2019,1316816,0,1439,3,USD
1464048,3,1/3/2019,1/9/2019,1316816,0,786,5,USD
1464048,4,1/3/2019,1/9/2019,1316816,0,2504,1,USD
1464049,1,1/3/2019,,152445,6,45,4,AUD
1464050,1,1/3/2019,,1255742,61,2134,1,USD
1464050,2,1/3/2019,,1255742,61,2516,1,USD
1464050,3,1/3/2019,,1255742,61,1661,4,USD
1464050,4,1/3/2019,,1255742,61,2093,2,USD
1464050,5,1/3/2019,,1255742,61,2014,4,USD
1464051,1,1/3/2019,,1816681,53,1021,2,USD
1464051,2,1/3/2019,,1816681,53,458,1,USD
1464052,1,1/3/2019,1/5/2019,1437958,0,428,5,USD
1464053,1,1/3/2019,,2052419,65,106,4,USD
1464053,2,1/3/2019,,2052419,65,2016,3,USD
1464053,3,1/3/2019,,2052419,65,424,3,USD
1464054,1,1/3/2019,,470965,27,2494,3,EUR
1464054,2,1/3/2019,,470965,27,315,2,EUR
1464054,3,1/3/2019,,470965,27,429,7,EUR
1464055,1,1/3/2019,1/7/2019,233904,0,85,2,CAD
1464055,2,1/3/2019,1/7/2019,233904,0,1435,5,CAD
1464056,1,1/3/2019,,1541249,61,2202,1,USD
1464056,2,1/3/2019,,1541249,61,1678,4,USD
1464057,1,1/3/2019,,1842010,64,470,1,USD
1464057,2,1/3/2019,,1842010,64,1786,2,USD
1464058,1,1/3/2019,1/6/2019,517158,0,2082,3,EUR
1464059,1,1/3/2019,,1730084,59,1678,3,USD
1464059,2,1/3/2019,,1730084,59,1541,2,USD
1464059,3,1/3/2019,,1730084,59,434,4,USD
1464062,1,1/3/2019,,439416,19,1617,4,EUR
1464062,2,1/3/2019,,439416,19,1416,1,EUR
1464062,3,1/3/2019,,439416,19,1953,1,EUR
1464062,4,1/3/2019,,439416,19,2494,1,EUR
1464063,1,1/3/2019,,516944,23,1271,5,EUR
1464063,2,1/3/2019,,516944,23,1484,1,EUR
1464065,1,1/3/2019,,2064083,44,1554,5,USD
1464065,2,1/3/2019,,2064083,44,2023,6,USD
1464066,1,1/3/2019,,1057875,42,1692,1,GBP
1464066,2,1/3/2019,,1057875,42,1069,1,GBP
1464066,3,1/3/2019,,1057875,42,1475,5,GBP
1464067,1,1/3/2019,,1284180,51,1709,2,USD
1464067,2,1/3/2019,,1284180,51,1579,5,USD
1464067,3,1/3/2019,,1284180,51,1573,8,USD
1464068,1,1/3/2019,,1143508,38,968,3,GBP
1464068,2,1/3/2019,,1143508,38,44,2,GBP
1465000,1,1/4/2019,,1581375,45,1423,1,USD
1465000,2,1/4/2019,,1581375,45,1632,4,USD
1465001,1,1/4/2019,,784001,30,443,5,EUR
1465001,2,1/4/2019,,784001,30,82,5,EUR
1465001,3,1/4/2019,,784001,30,2499,3,EUR
1465002,1,1/4/2019,1/6/2019,1863297,0,1458,3,USD
1465002,2,1/4/2019,1/6/2019,1863297,0,1718,1,USD
1465002,3,1/4/2019,1/6/2019,1863297,0,83,5,USD
1465002,4,1/4/2019,1/6/2019,1863297,0,1135,1,USD
1465002,5,1/4/2019,1/6/2019,1863297,0,393,2,USD
1465002,6,1/4/2019,1/6/2019,1863297,0,451,2,USD
1465003,1,1/4/2019,,946719,39,1642,1,GBP
1465004,1,1/4/2019,1/9/2019,382095,0,1509,3,CAD
1465004,2,1/4/2019,1/9/2019,382095,0,65,2,CAD
1465005,1,1/4/2019,,1714946,49,81,1,USD
1465006,1,1/4/2019,1/8/2019,1414525,0,2111,1,USD
1465006,2,1/4/2019,1/8/2019,1414525,0,62,2,USD
1465006,3,1/4/2019,1/8/2019,1414525,0,175,7,USD
1465007,1,1/4/2019,,1360960,65,1625,1,USD
1465007,2,1/4/2019,,1360960,65,1625,4,USD
1465007,3,1/4/2019,,1360960,65,921,4,USD
1465009,1,1/4/2019,,1328229,53,526,9,USD
1465010,1,1/4/2019,,2007321,45,1528,1,USD
1465010,2,1/4/2019,,2007321,45,1307,10,USD
1465011,1,1/4/2019,,782107,30,1590,4,EUR
1465011,2,1/4/2019,,782107,30,678,3,EUR
1465012,1,1/4/2019,,672896,16,1463,3,EUR
1465013,1,1/4/2019,,1815207,47,783,5,USD
1465013,2,1/4/2019,,1815207,47,1474,3,USD
1465014,1,1/4/2019,1/7/2019,784983,0,1654,3,EUR
1465015,1,1/4/2019,,1272497,47,1955,2,USD
1465016,1,1/4/2019,,752396,29,1655,1,EUR
1465016,2,1/4/2019,,752396,29,144,1,EUR
1465017,1,1/4/2019,,222287,9,1491,1,CAD
1465017,2,1/4/2019,,222287,9,1758,6,CAD
1465017,3,1/4/2019,,222287,9,86,5,CAD
1465018,1,1/4/2019,1/8/2019,236161,0,1355,4,CAD
1465018,2,1/4/2019,1/8/2019,236161,0,1917,6,CAD
1465018,3,1/4/2019,1/8/2019,236161,0,1422,1,CAD
1465019,1,1/4/2019,,1781953,62,2076,8,USD
1465019,2,1/4/2019,,1781953,62,443,1,USD
1465020,1,1/4/2019,,1918103,50,1282,1,USD
1465021,1,1/4/2019,,581404,21,1481,2,EUR
1465022,1,1/4/2019,,967098,39,1552,3,GBP
1465022,2,1/4/2019,,967098,39,1527,4,GBP
1465022,3,1/4/2019,,967098,39,1497,5,GBP
1465022,4,1/4/2019,,967098,39,1641,8,GBP
1465023,1,1/4/2019,1/8/2019,1538998,0,1657,2,USD
1465023,2,1/4/2019,1/8/2019,1538998,0,393,3,USD
1465023,3,1/4/2019,1/8/2019,1538998,0,2100,1,USD
1465024,1,1/4/2019,1/7/2019,1853279,0,1439,1,USD
1465024,2,1/4/2019,1/7/2019,1853279,0,1412,1,USD
1465024,3,1/4/2019,1/7/2019,1853279,0,962,6,USD
1465025,1,1/4/2019,1/11/2019,2088614,0,1702,5,USD
1465025,2,1/4/2019,1/11/2019,2088614,0,1329,1,USD
